xxGeoId|Geography|LEAID|Year|Iteration|CDP02_10est|CDP02_10moe|CDP02_11est|CDP02_11moe|CDP02_11pct|CDP02_11pctmoe|CDP02_12est|CDP02_12moe|CDP02_12pct|CDP02_12pctmoe|CDP02_13est|CDP02_13moe|CDP02_13pct|CDP02_13pctmoe|CDP02_14est|CDP02_14moe|CDP02_14pct|CDP02_14pctmoe|CDP02_15est|CDP02_15moe|CDP02_15pct|CDP02_15pctmoe
97000US2700106|A.C.G.C. Public School District|2700106|2014-2018|105|885|105|70|27|7.9|2.9|70|20|7.9|2.4|510|66|57.6|3.4|235|40|26.6|3.6|0|12|0.0|2.0
97000US4500690|Abbeville County School District|4500690|2014-2018|105|3420|223|90|93|2.6|2.7|345|136|10.1|3.8|1910|199|55.8|4.7|1070|157|31.3|4.7|0|23|0.0|1.0
97000US5500030|Abbotsford School District|5500030|2014-2018|105|685|124|20|12|2.9|2.0|50|23|7.3|2.9|440|91|64.2|5.1|175|47|25.5|5.2|0|9|0.0|2.5
97000US4807380|Abbott Independent School District|4807380|2014-2018|105|190|58|4|4|2.1|2.2|10|9|5.3|4.2|110|43|57.9|11.6|70|26|36.8|11.1|0|13|0.0|18.9
97000US5300030|Aberdeen School District|5300030|2014-2018|105|3480|347|325|114|9.3|3.1|155|87|4.5|2.4|1945|287|55.9|5.7|1050|183|30.2|4.9|0|22|0.0|0.9
97000US2800360|Aberdeen School District|2800360|2014-2018|105|1405|233|40|57|2.8|3.9|130|64|9.3|4.1|935|175|66.5|6.8|300|105|21.4|7.2|0|18|0.0|2.6
97000US1600030|Aberdeen School District 58|1600030|2014-2018|105|745|196|50|43|6.7|5.6|70|37|9.4|4.7|460|148|61.7|10.1|170|97|22.8|11.8|0|12|0.0|4.3
97000US4807410|Abernathy Independent School District|4807410|2014-2018|105|805|166|55|38|6.8|4.8|20|21|2.5|2.6|525|137|65.2|7.7|210|68|26.1|8.3|0|13|0.0|4.8
97000US4807440|Abilene Independent School District|4807440|2014-2018|105|15410|602|855|233|5.5|1.4|1425|281|9.2|1.8|8745|523|56.7|2.5|4380|379|28.4|2.5|0|31|0.0|0.3
97000US2003180|Abilene Unified School District 435|2003180|2014-2018|105|1270|177|120|71|9.4|5.2|60|54|4.7|4.2|675|133|53.1|7.5|415|85|32.7|5.3|0|15|0.0|1.9
97000US3400660|Absecon City School District|3400660|2014-2018|105|1040|231|20|27|1.9|2.7|75|54|7.2|5.2|735|241|70.7|11.3|210|89|20.2|10.1|0|17|0.0|3.1
97000US1700105|A-C Central Community Unit School District 262|1700105|2014-2018|105|445|71|55|23|12.4|4.8|45|27|10.1|6.3|225|54|50.6|7.3|120|39|27.0|8.5|0|11|0.0|6.0
97000US4807470|Academy Independent School District|4807470|2014-2018|105|1560|340|45|34|2.9|2.4|155|94|9.9|5.6|800|229|51.3|10.3|560|212|35.9|10.6|0|19|0.0|2.5
